Response,salt_percentage,lipid_percentage,pH,Temp
1,3%,10%,3,2
0.55,0%,20%,3,2
1.11,2%,15%,3,2
1.48,4%,10%,3,2
1.3,1%,20%,3,2
0.7,3%,15%,3,2
1.35,2%,20%,3,2
1.15,4%,15%,3,2
1.52,3%,20%,3,2
2.13,4%,20%,3,2
-2.6,0%,0%,2,2
-2.33,1%,0%,2,2
-2.74,0%,5%,2,2
-2.21,2%,0%,2,2
-2.36,1%,5%,2,2
2.48,3%,0%,2,2
-2.23,0%,10%,2,2
1.15,2%,5%,2,2
1.24,4%,0%,2,2
2.37,1%,10%,2,2
2.36,3%,5%,2,2
-0.46,0%,15%,2,2
1.41,2%,10%,2,2
1.46,4%,5%,2,2
1.1,1%,15%,2,2
1.72,3%,10%,2,2
1.03,0%,20%,2,2
1.56,2%,15%,2,2
1.68,4%,10%,2,2
1.52,1%,20%,2,2
1.21,3%,15%,2,2
1.44,2%,20%,2,2
1.09,4%,15%,2,2
0.83,3%,20%,2,2
0.64,4%,20%,2,2
2.73,0%,0%,1,2
1.04,1%,0%,1,2
2.13,0%,5%,1,2
2.02,2%,0%,1,2
2.15,1%,5%,1,2
2.31,3%,0%,1,2
2.38,0%,10%,1,2
0.6,2%,5%,1,2
1.26,4%,0%,1,2
2.61,1%,10%,1,2
2.23,3%,5%,1,2
2.11,0%,15%,1,2
0,2%,10%,1,2
1.02,4%,5%,1,2
1.2,1%,15%,1,2
2.57,3%,10%,1,2
1.57,0%,20%,1,2
0.87,2%,15%,1,2
1.29,4%,10%,1,2
1.58,1%,20%,1,2
1.14,3%,15%,1,2
1.53,2%,20%,1,2
1.18,4%,15%,1,2
1.39,3%,20%,1,2
0.95,4%,20%,1,2
2.33,0%,0%,0,2
1.11,1%,0%,0,2
0.6,0%,5%,0,2
1.33,2%,0%,0,2
0.64,1%,5%,0,2
0.45,3%,0%,0,2
0.94,0%,10%,0,2
0.11,2%,5%,0,2
0.91,4%,0%,0,2
0.43,1%,10%,0,2
0.12,3%,5%,0,2
0.18,0%,15%,0,2
0.32,2%,10%,0,2
0.75,4%,5%,0,2
0.49,1%,15%,0,2
0.66,3%,10%,0,2
0.55,0%,20%,0,2
0.69,2%,15%,0,2
0.57,4%,10%,0,2
0.67,1%,20%,0,2
0.23,3%,15%,0,2
0.73,2%,20%,0,2
0.64,4%,15%,0,2
0.25,3%,20%,0,2
1.03,4%,20%,0,2
