serial number,Family code,FHT,MHT,# children,SEX C1,AGE C1,HT C1,SEX C2,AGE C2,HT C2,SEX C3,AGE C3,HT C3,SEX C4,AGE C4 ,HT C4
47,1315,170.0,160.0,2,1,17.0,151.0,1,15.00,148.0,,,,,,
48,1316,175.0,155.0,2,1,16.0,170.0,1,14.00,180.0,,,,,,
49,101,180.0,145.0,4,0,18.0,148.0,0,16.00,152.0,1,14,135.0,1,12,130
50,102,175.0,145.0,3,1,30.0,160.0,0,25.00,155.0,0,23,153.0,,,
51,103,180.0,160.0,1,0,19.0,160.0,,,,,,,,,
52,104,168.0,145.0,2,0,16.0,150.0,1,10.00,145.0,,,,,,
53,105,165.0,160.0,2,0,35.0,156.0,0,22.00,145.0,,,,,,
54,106,178.0,158.0,4,1,37.0,165.0,1,30.00,170.0,1,28,168.0,0,25,175
55,107,175.0,150.0,3,1,20.0,156.0,0,17.00,152.0,0,15,155.0,,,
56,108,175.0,155.0,2,1,18.0,172.0,1,16.00,165.0,,,,,,
57,109,165.0,160.0,2,1,19.0,162.0,0,16.00,158.0,,,,,,
58,1010,170.0,145.0,2,0,17.0,158.0,1,15.00,168.0,,,,,,
59,1011,165.0,155.0,4,0,24.0,162.0,0,22.00,160.0,1,19,170.0,1,16,164
60,1012,170.0,160.0,2,0,17.0,157.0,1,16.00,150.0,,,,,,
61,641,173.0,155.0,2,1,20.0,175.5,0,18.00,158.0,,,,,,
62,642,162.0,150.0,3,1,20.0,169.0,1,17.00,164.0,0,14,156.0,,,
63,643,170.0,160.0,2,0,10.0,133.0,0,3.00,96.5,,,,,,
64,644,168.0,166.0,2,1,4.0,99.0,1,,51.0,,,,,,
65,645,163.0,152.0,3,1,16.0,156.0,1,14.00,143.0,0,11,133.0,,,
66,646,168.0,159.0,3,1,20.0,177.0,0,18.00,155.0,1,16,161.0,,,
67,647,158.0,153.0,2,1,19.0,162.0,1,14.00,151.0,,,,,,
68,648,173.0,152.0,3,0,15.0,155.0,0,13.00,146.0,1,10,133.0,,,
69,649,165.0,155.0,2,1,9.0,130.0,1,7.00,125.0,,,,,,
70,6410,172.0,166.0,2,1,9.0,130.0,0,6.00,130.0,,,,,,
71,6411,166.0,153.0,4,1,25.0,172.0,1,23.00,166.0,0,21,153.0,1,19,153
72,6412,166.0,156.0,2,0,10.0,137.0,0,8.00,126.0,,,,,,
73,6413,173.0,155.0,2,0,13.0,146.0,0,10.00,133.0,,,,,,
74,6414,170.0,156.0,4,0,18.0,159.0,0,15.00,157.0,1,13,148.0,0,9,128
75,6415,165.0,149.0,3,0,14.0,155.0,0,12.00,143.0,1,6,107.0,,,
76,6416,172.0,150.0,3,1,20.0,165.0,0,17.00,150.0,1,12,140.0,,,
77,841,179.0,155.0,2,1,17.0,170.0,0,18.00,165.0,,,,,,
78,842,174.0,164.0,4,1,32.0,174.0,1,29.00,172.0,1,28,168.0,1,27,170
79,843,170.0,168.0,2,1,12.0,148.0,1,12.00,148.0,,,,,,
80,844,164.0,158.0,4,0,19.0,160.0,1,18.00,162.0,1,16,158.0,0,15,158
81,845,164.0,162.0,2,0,8.0,120.0,1,6.00,90.0,,,,,,
82,846,168.0,162.0,2,1,27.0,164.0,1,24.00,165.0,,,,,,
83,847,172.0,168.0,2,1,13.0,142.0,0,11.00,130.0,,,,,,
84,848,167.0,165.0,2,1,17.0,170.0,1,15.00,140.0,,,,,,
85,849,172.0,160.0,3,1,17.0,172.0,0,19.00,168.0,0,20,167.0,,,
86,8410,170.0,164.0,2,1,23.0,172.0,1,21.00,163.0,,,,,,
87,1741,165.0,160.0,1,0,3.0,60.0,,,,,,,,,
88,1742,182.0,160.0,1,0,2.5,50.2,,,,,,,,,
89,1743,169.0,158.0,2,1,18.0,170.0,1,15.00,175.0,,,,,,
90,1744,160.0,156.0,2,1,5.0,127.0,1,3.00,78.0,,,,,,
91,1745,182.0,170.0,2,0,16.0,152.0,1,12.00,121.9,,,,,,
92,1746,162.0,160.0,2,1,5.0,66.0,0,7.00,110.0,,,,,,
93,1747,156.0,150.0,2,1,2.0,56.2,0,3.00,80.0,,,,,,
94,1748,160.0,150.0,2,1,4.0,120.0,1,3.00,80.0,,,,,,
95,1749,170.0,160.0,1,0,20.0,165.0,,,,,,,,,
96,17410,160.0,157.5,1,1,22.0,162.5,,,,,,,,,
97,17411,156.4,150.0,2,0,18.0,151.5,0,16.00,150.0,,,,,,
98,17412,175.5,160.0,1,1,21.0,162.5,,,,,,,,,
99,17413,168.0,160.0,1,0,1.0,54.0,,,,,,,,,
100,17414,180.0,160.0,3,0,12.0,140.0,1,10.00,131.0,1,9,124.0,,,
101,17415,174.0,165.0,2,0,6.0,110.0,0,5.00,78.0,,,,,,
102,591,168.0,148.0,2,1,15.0,169.0,0,18.00,158.0,,,,,,
103,592,168.0,140.0,4,0,15.0,151.0,0,14.00,145.0,1,17,143.0,1,18,156
104,593,172.0,155.0,2,0,12.0,142.0,1,13.00,144.0,,,,,,
105,594,170.0,158.0,4,0,15.0,157.0,0,18.00,158.0,1,13,145.0,0,6,140
106,595,170.0,153.0,1,1,18.0,170.0,,,,,,,,,
107,596,160.0,157.0,2,0,18.0,156.0,1,16.00,175.0,,,,,,
108,597,157.0,154.0,4,0,18.0,156.0,0,17.00,151.0,1,16,160.0,1,20,163
109,598,165.0,162.0,2,0,18.0,154.0,1,20.00,175.0,,,,,,
110,599,167.0,165.0,3,0,10.0,140.0,1,8.00,130.0,1,3,75.0,,,
111,5910,172.0,168.0,1,1,4.0,76.0,,,,,,,,,
112,5911,152.0,150.0,1,1,2.0,60.0,,,,,,,,,
113,5912,167.0,163.0,3,0,18.0,155.0,1,15.00,157.0,0,12,142.0,,,
114,5913,160.0,155.0,2,1,16.0,162.0,0,14.00,150.0,,,,,,
115,5914,158.0,154.0,2,1,6.0,90.0,0,3.00,70.0,,,,,,
116,5915,155.0,153.0,2,1,22.0,168.0,0,19.00,150.0,,,,,,
117,5916,169.0,154.0,3,1,23.0,160.0,1,22.00,172.0,0,18,150.0,,,
118,571,169.0,165.0,2,1,19.0,182.0,0,18.00,154.0,,,,,,
119,572,163.0,151.0,2,0,19.0,154.0,1,4.00,95.0,,,,,,
120,573,155.0,151.0,3,0,16.0,152.0,0,13.00,145.0,0,6,106.0,,,
121,574,154.0,153.0,3,1,24.0,156.0,1,23.00,156.0,0,21,153.0,,,
122,575,160.0,158.0,2,1,6.0,98.0,1,3.00,97.0,,,,,,
123,576,151.0,156.0,3,1,21.0,154.0,0,19.00,148.0,0,13,146.0,,,
124,577,156.0,145.0,4,1,22.0,172.0,1,20.00,173.0,1,18,156.0,1,16,154
125,578,163.0,156.0,2,1,19.0,173.0,1,16.00,156.0,,,,,,
126,579,155.0,148.0,2,1,13.0,146.0,1,10.00,123.0,,,,,,
127,5710,169.0,160.0,2,1,24.0,174.0,1,22.00,173.0,,,,,,
128,5711,166.0,150.0,2,1,24.0,166.0,0,22.00,155.0,,,,,,
129,5712,166.0,148.0,3,1,20.0,173.0,0,18.00,155.0,0,15,156.0,,,
130,5713,168.0,148.0,2,1,15.0,169.0,0,18.00,158.0,,,,,,
131,5714,170.0,158.0,4,0,15.0,157.0,0,18.00,158.0,1,13,145.0,0,6,140
132,5715,169.0,154.0,3,1,23.0,160.0,1,22.00,172.0,0,18,150.0,,,
133,5716,157.0,154.0,4,0,18.0,156.0,0,17.00,151.0,1,16,160.0,1,20,163
134,121,169.5,148.5,3,0,18.0,150.0,1,15.00,147.0,1,10,135.0,,,
135,122,170.0,153.0,2,0,10.0,132.0,1,9.00,119.0,,,,,,
136,123,168.0,150.0,2,1,9.0,117.0,1,5.00,103.5,,,,,,
137,124,168.0,162.0,2,0,5.0,102.0,1,3.00,96.0,,,,,,
138,125,163.0,155.0,2,1,14.0,166.0,0,7.00,126.0,,,,,,
139,126,165.0,159.0,2,1,15.0,150.0,1,11.00,140.0,,,,,,
140,127,170.0,165.0,2,0,16.0,150.0,0,12.00,148.0,,,,,,
141,128,160.0,156.0,2,0,20.0,150.0,1,16.00,148.0,,,,,,
142,129,169.0,168.0,2,1,17.0,155.0,1,15.00,154.0,,,,,,
143,1210,159.0,155.0,2,1,5.0,105.0,0,2.00,84.0,,,,,,
144,1211,160.0,154.0,2,1,9.0,112.0,0,5.00,100.0,,,,,,
145,1212,169.0,164.0,2,1,15.0,150.0,1,13.00,142.0,,,,,,
146,1213,154.0,150.0,2,0,10.0,135.0,0,8.00,120.0,,,,,,
147,1214,167.0,162.0,3,0,15.0,150.0,1,13.00,145.0,1,10,130.0,,,
148,1215,168.0,165.0,3,1,18.0,160.0,0,15.00,152.0,0,11,139.0,,,
149,81,167.0,162.0,4,0,19.0,164.0,0,18.00,157.0,1,17,173.0,1,14,152
150,82,158.0,155.0,1,1,3.0,60.0,,,,,,,,,
151,83,178.0,156.0,1,0,5.0,116.0,,,,,,,,,
152,84,165.0,154.0,4,0,17.0,154.0,0,16.00,148.0,0,14,153.0,0,13,137
153,85,157.0,151.0,3,0,16.0,160.0,0,11.00,142.0,0,6,120.0,,,
154,86,166.0,158.0,3,0,16.0,54.0,0,14.00,160.0,0,9,121.0,,,
155,87,179.0,153.0,3,0,9.0,124.0,0,7.00,112.0,0,3,59.0,,,
156,88,175.0,150.0,4,0,30.0,157.0,0,29.00,153.0,0,23,180.0,0,20,153
157,89,153.0,152.0,1,0,1.0,59.0,,,,,,,,,
158,810,165.0,148.0,1,1,4.0,122.0,,,,,,,,,
159,811,151.0,150.0,2,1,3.0,65.0,1,2.00,52.0,,,,,,
160,812,157.0,154.0,1,0,2.0,58.0,,,,,,,,,
161,813,169.0,158.0,3,1,28.0,165.0,1,27.00,171.0,1,25,168.0,,,
162,814,168.0,156.0,4,0,11.0,125.0,0,9.00,127.0,1,7,112.0,1,4,70
163,815,151.0,149.0,1,1,2.0,58.0,,,,,,,,,
164,816,166.0,161.0,2,1,6.0,96.0,1,1.00,57.0,,,,,,
165,111,166.0,164.0,3,0,25.0,169.0,0,23.00,165.0,0,18,168.0,,,
166,112,160.0,158.0,3,0,23.0,156.0,1,21.00,168.0,1,16,167.0,,,
167,113,168.0,164.0,2,1,24.0,172.0,0,19.00,165.0,,,,,,
168,114,169.0,168.0,3,0,32.0,168.0,1,30.00,172.0,1,27,171.0,,,
169,115,159.0,157.0,2,1,24.0,168.0,1,21.00,166.0,,,,,,
170,116,166.0,165.0,2,0,20.0,156.0,0,19.00,158.0,,,,,,
171,117,164.0,159.0,3,0,27.0,168.0,1,25.00,169.0,1,23,160,,,
172,118,168.0,163.0,2,1,21.0,169.0,0,16.00,163.0,,,,,,
173,119,160.0,158.0,2,1,16.0,162.0,0,12.00,150.0,,,,,,
174,1110,172.0,170.0,2,1,19.0,171.0,0,17.00,165.0,,,,,,
175,1111,170.0,167.0,3,0,24.0,165.0,0,22.00,163.0,1,17,168.0,,,
176,1112,159.0,150.0,1,0,12.0,148.0,,,,,,,,,
177,1113,155.0,156.0,1,1,24.0,166.0,,,,,,,,,
178,1114,156.0,154.0,1,0,21.0,153.0,,,,,,,,,
179,1115,172.0,170.0,2,1,23.0,169.0,1,20.00,170.0,,,,,,
180,1116,170.0,165.0,1,1,21.0,168.0,,,,,,,,,
181,1117,172.0,171.0,3,1,28.0,168.0,0,23.00,163.0,1,21,170.0,,,
182,1118,166.0,160.0,2,0,23.0,166.0,1.0,21.00,167.0,,,,,,
183,1119,160.0,158.0,1,1,11.0,146.0,,,,,,,,,
184,1120,170.0,160.0,2,1,28.0,165.0,0,24.00,169.0,,,,,,
185,1121,166.0,162.0,2,1,28.0,166.0,0,23.00,164.0,,,,,,
186,41,173.0,159.0,3,0,18.0,164.0,0,17.00,160.0,1,10,150.0,,,
187,42,182.0,152.0,2,0,18.0,168.0,1,22.00,175.0,,,,,,
188,43,171.0,156.0,4,0,18.0,160.0,1,15.00,165.0,0,16,156.0,1,12,145
189,44,186.0,156.0,4,0,17.0,156.0,0,16.00,158.0,1,11,145.0,0,13,157
190,45,169.0,159.0,4,0,17.0,159.0,1,21.00,172.0,1,28,176.0,0,22,162
191,46,165.0,161.0,4,0,17.0,161.0,0,20.00,160.0,1,14,157.0,0,16,161
192,47,171.0,159.0,2,0,17.0,156.0,1,15.00,186.0,,,,,,
193,48,175.0,155.0,2,0,17.0,157.0,1,23.00,158.0,,,,,,
194,49,176.0,149.0,3,0,18.0,147.0,1,19.00,174.0,0,21,150.0,,,
195,410,164.0,156.0,4,0,18.0,156.0,0,16.00,158.0,1,16,150.0,1,19,160
196,411,168.0,162.0,2,0,23.0,164.0,1,24.00,165.0,,,,,,
197,412,170.0,156.0,4,0,18.0,159.0,0,15.00,157.0,1,13,148.0,0,10,128
198,413,175.0,155.0,2,1,20.0,176.0,0,18.00,159.0,,,,,,
199,414,162.0,166.0,3,0,19.0,159.0,1,17.00,170.0,0,14,147.0,,,
200,415,162.0,150.0,2,0,17.0,163.0,1,19.00,177.0,,,,,,
201,416,168.0,156.0,3,0,19.0,160.0,1,20.00,169.0,0,25,159.0,,,
202,521,163.0,158.0,3,1,24.0,173.0,1,22.00,173.0,1,18,163.0,,,
203,522,170.0,158.0,1,1,4.0,84.0,,,,,,,,,
204,523,159.0,152.0,2,1,15.0,108.0,0,12.00,91.0,,,,,,
205,524,159.0,159.0,2,1,10.0,98.0,1,9.00,103.0,,,,,,
206,525,167.0,156.0,3,1,18.0,159.0,1,16.00,152.0,1,14,139.0,,,
207,526,162.0,154.0,2,0,7.0,96.0,1,5.00,78.0,,,,,,
208,527,187.0,159.0,2,1,16.0,183.0,1,14.00,156.0,,,,,,
209,528,159.0,154.0,2,1,9.0,93.0,1,4.00,75.0,,,,,,
210,529,167.0,156.0,2,1,13.0,141.0,1,10.00,126.0,,,,,,
211,5210,159.0,152.0,2,1,19.0,156.0,1,17.00,159.0,,,,,,
212,5211,172.0,149.0,3,1,21.0,172.0,1,20.00,169.0,0,18,154.0,,,
213,5212,172.0,152.0,2,1,4.0,88.0,1,2.00,61.0,,,,,,
214,5213,164.0,146.0,3,0,13.0,149.0,0,10.00,116.0,1,4,91.0,,,
215,5214,164.0,157.0,2,1,10.0,129.0,0,8.00,122.0,,,,,,
216,5215,174.0,159.0,3,0,28.0,146.0,1,27.00,164.0,1,18,167.0,,,
217,5216,164.0,159.0,2,1,6.0,104.0,1,4.00,88.0,,,,,,
218,51,172.0,160.0,2,0,23.0,162.0,0,22.00,164.0,,,,,,
219,52,172.0,155.0,2,1,16.0,170.0,1,14.00,180.0,,,,,,
220,53,160.0,159.0,2,0,19.0,161.0,1,13.00,133.0,,,,,,
221,54,159.0,157.5,2,1,19.0,171.0,0,16.00,169.0,,,,,,
222,55,173.0,165.0,3,1,18.0,167.0,0,15.00,163.0,1,8,128.0,,,
223,56,176.0,169.0,4,1,18.0,174.0,1,16.00,175.0,0,12,169.0,1,10,165
224,57,175.0,158.0,3,1,17.0,170.0,0,15.00,163.0,1,12,135.0,,,
225,58,165.0,163.0,1,0,24.0,163.0,,,,,,,,,
226,59,168.0,160.0,1,1,20.0,178.0,,,,,,,,,
227,510,167.0,165.0,2,0,24.0,167.0,0,21.00,164.0,,,,,,
228,511,165.0,164.0,3,1,25.0,172.0,1,23.00,169.0,0,13,165.0,,,
229,512,176.0,169.0,3,1,18.0,172.0,1,16.00,174.0,0,12,135.0,,,
230,513,160.0,158.0,2,1,21.0,167.0,1,18.00,165.0,,,,,,
231,514,178.0,168.0,3,1,27.0,175.0,1,25.00,172.0,1,20,167.0,,,
232,515,168.0,160.0,3,1,30.0,169.0,0,24.00,165.5,1,22,163.0,,,
233,516,165.0,161.0,3,0,27.0,162.0,0,25.00,163.0,0,22,161.0,,,
234,831,165.0,156.4,4,1,26.0,169.0,0,23.00,142.5,0,21,157.4,1,19,178
235,832,165.6,155.2,3,1,22.0,175.0,1,16.00,165.0,1,18,162.6,,,
236,833,172.8,170.2,3,1,19.0,174.3,1,18.00,177.1,1,14,137.7,,,
237,834,174.6,169.3,3,0,23.0,168.0,1,18.00,170.2,1,16,155.0,,,
238,835,170.8,163.4,3,1,22.0,170.5,1,19.00,170.2,1,18,171.6,,,
239,836,168.0,160.2,4,1,23.0,160.7,0,21.00,159.4,1,18,165.0,1,14,154
240,837,164.6,161.4,4,1,28.0,169.2,1,24.00,171.6,0,20,150.0,,,
241,838,169.0,158.0,2,1,19.0,170.0,1,16.00,175.6,,,,,,
242,839,167.6,162.0,3,1,19.0,172.1,1,16.00,169.6,0,14,142.0,,,
243,8310,168.2,163.0,3,1,9.0,135.1,1,8.00,114.3,0,7,107.4,,,
244,8311,169.0,164.6,3,0,16.0,161.0,0,14.00,159.3,1,12,136.0,,,
245,8312,172.3,168.4,3,0,26.0,170.2,1,24.00,169.6,0,22,166.1,,,
246,8313,169.8,166.8,4,0,22.0,171.8,1,19.00,169.9,0,17,168.7,1,15,162
247,8314,171.6,168.9,2,1,19.0,170.0,1,16.00,168.4,,,,,,
248,671,165.0,159.0,4,0,18.0,160.0,0,15.00,147.0,0,11,134.0,1,8,115
249,672,163.0,153.0,3,0,14.0,149.0,0,7.00,106.0,1,5,91.0,,,
250,673,170.0,160.0,2,1,11.0,145.0,0,7.00,113.0,,,,,,
251,674,172.0,150.0,3,1,21.0,165.0,0,17.00,152.0,1,13,143.0,,,
252,675,160.0,149.0,3,0,14.0,155.0,0,12.00,143.0,1,6,107.0,,,
253,676,166.0,153.0,2,1,8.0,95.0,1,6.00,82.0,,,,,,
254,677,163.0,159.0,4,1,22.0,165.0,0,18.00,160.0,0,15,154.0,1,11,138
255,678,164.0,156.0,1,1,3.0,89.0,,,,,,,,,
256,679,167.6,155.0,4,1,18.0,167.6,1,17.00,163.0,1,14,149.8,0,11,143
257,6710,190.0,160.0,1,1,11.0,150.0,,,,,,,,,
258,6711,159.0,146.0,2,0,16.0,153.0,1,14.00,164.0,,,,,,
259,6712,164.0,162.0,1,0,2.0,87.0,,,,,,,,,
260,651,164.0,158.0,2,0,19.0,157.0,1,17.00,171.0,,,,,,
261,652,165.0,150.0,2,0,18.0,150.0,1,16.00,163.0,,,,,,
262,653,173.8,158.0,2,0,18.0,164.0,1,13.00,152.0,,,,,,
263,654,165.0,159.0,3,0,18.0,160.0,0,15.00,147.0,0,11,134.0,,,
264,655,172.0,150.0,3,1,21.0,165.0,0,17.00,152.0,1,13,143.0,,,
265,656,180.0,153.0,1,1,5.0,104.0,,,,,,,,,
266,657,170.0,156.0,4,0,18.0,159.0,0,15.00,157.0,1,13,148.0,0,9,128
267,658,174.0,155.0,2,1,20.0,176.0,0,18.00,159.0,,,,,,
268,659,163.0,157.0,2,0,19.0,156.0,1,17.00,158.0,,,,,,
269,6510,165.0,155.0,2,0,18.0,157.0,1,16.00,165.0,,,,,,
270,6511,164.0,158.0,3,0,12.0,145.0,0,9.00,129.0,0,8,113.0,,,
271,6512,169.0,161.0,2,0,19.0,156.0,0,16.00,150.0,,,,,,
272,6513,166.0,160.0,2,0,18.0,164.0,0,17.00,160.0,,,,,,
273,6514,172.0,150.0,2,1,20.0,165.0,0,17.00,153.0,,,,,,
274,6515,165.0,159.0,2,0,14.0,149.0,1,17.00,169.0,,,,,,
275,6516,170.0,154.0,2,0,23.0,158.0,1,21.00,160.0,,,,,,
276,511,162.0,164.0,2,1,7.0,114.0,0,5.00,94.0,,,,,,
277,512,162.0,159.0,3,1,23.0,167.0,1,22.00,167.0,0,18,162.0,,,
278,513,162.0,142.0,4,0,21.0,142.0,1,20.00,164.0,0,18,144.0,1,12,136
279,514,169.0,162.0,3,1,22.0,169.0,1,20.00,164.0,0,18,164.0,,,
280,515,167.0,147.0,3,1,25.0,172.0,0,22.00,154.0,1,20,167.0,,,
281,516,172.0,152.0,2,1,4.0,88.0,1,2.00,61.0,,,,,,
282,517,159.0,154.0,2,1,21.0,169.0,1,15.00,162.0,,,,,,
283,518,167.0,147.0,3,1,19.0,164.0,0,16.00,144.0,0,13,136.0,,,
284,519,169.0,167.0,3,0,16.0,162.0,0,14.00,154.0,1,12,144.0,,,
285,5110,173.0,152.0,2,1,5.0,96.0,1,3.00,82.0,,,,,,
286,5111,154.0,144.0,3,1,18.0,160.0,1,17.00,154.0,1,15,152.0,,,
287,5112,169.0,152.0,3,1,18.0,172.0,0,16.00,152.0,1,14,152.0,,,
288,5113,169.0,159.0,2,1,13.0,147.0,0,11.00,139.0,,,,,,
