PLANT CODE,Month,EMPLOYEE CODE,QTY(MT)
1,10,2,2.708
1,10,2,3.171
1,10,2,3.893
1,10,2,6.782
1,10,2,10.07
1,10,2,10.907
1,10,2,12.425
1,10,2,12.653
1,10,2,13.178
1,10,2,13.683
1,7,2,10.24
1,9,2,0.378
1,9,2,1.146
1,9,2,10.01
1,9,2,10.13
1,9,2,0.714
1,9,2,2.617
1,9,2,3.093
1,10,2,7.176
1,10,2,9.954
1,10,2,10.061
1,10,2,3.259
1,10,2,8.838
1,7,2,10.149
1,8,2,2.939
1,8,2,3.811
1,8,2,4.608
1,8,2,5.127
1,9,2,10.16
1,7,2,5.396
1,7,2,6.364
1,7,2,7.202
1,8,2,2.475
1,8,2,9.925
1,8,2,10.281
1,8,2,10.46
1,9,2,1.082
1,9,2,2.214
1,9,2,3.37
1,9,2,5.178
1,9,2,2.146
1,9,2,1.427
1,9,2,3.928
1,9,2,6.188
1,9,2,7.273
1,9,2,7.498
1,9,2,0.346
1,10,2,1.852
1,10,2,2.876
1,10,2,2.134
1,10,2,3.218
1,10,2,5.01
1,10,2,5.37
1,10,2,6.684
1,10,2,4.566
1,10,2,0.651
1,10,2,2.374
1,10,2,2.47
1,10,2,3.7
1,7,2,0.722
1,9,2,1.431
1,9,2,3.041
1,7,2,1.524
1,8,2,4.8
1,8,2,4.896
1,8,2,4.953
1,9,2,8.09
1,9,2,10.588
1,9,2,10.73
1,9,2,2.151
1,10,2,10.05
1,10,2,1.438
1,10,2,2.764
1,10,2,6.742
1,7,2,0.722
1,8,2,4.913
1,8,2,5.172
1,8,2,1.968
1,9,2,1.065
1,9,2,2.457
1,9,2,5.572
1,9,2,6.788
1,9,2,2.91
1,10,2,5.39
1,10,2,2.942
1,7,2,1.632
1,7,2,4.538
1,7,2,1.095
1,7,2,6.014
1,7,2,6.054
1,7,2,5.632
1,7,2,5.813
1,8,2,0.577
1,8,2,4.282
1,8,2,5.3
1,8,2,1.845
1,8,2,4.011
1,8,2,4.577
1,8,2,5.791
1,8,2,10.26
1,8,2,0.532
1,9,2,9.704
1,9,2,5.045
1,9,2,5.2
1,9,2,0.537
1,10,2,4.641
1,10,2,5.219
1,10,2,10.111
1,10,2,1.357
1,10,2,3.001
1,10,2,7.903
1,10,2,8.124
1,7,2,0.568
1,7,2,5.407
1,7,2,10.01
1,7,2,3.132
1,7,2,3.961
1,7,2,4.688
1,7,2,0.651
1,8,2,1.024
1,8,2,5.928
1,8,2,2.856
1,8,2,5.498
1,9,2,4.925
1,9,2,5.02
1,10,2,0.598
1,10,2,5.07
1,10,2,1.939
1,10,2,1.943
1,10,2,4.55
1,10,2,1.025
1,7,2,1.975
1,7,2,3.999
1,10,2,1.715
1,10,2,0.526
2,7,2,1.908
2,9,2,2.065
2,7,2,4.913
2,8,2,0.313
2,8,2,0.501
2,9,2,0.236
2,9,2,0.192
2,9,2,0.494
2,10,2,0.989
2,10,2,0.455
2,8,2,1.089
2,7,2,0.912
2,7,2,0.536
2,7,2,0.49
2,8,2,0.565
2,9,2,0.976
2,9,2,0.992
2,9,2,1.259
2,9,2,0.658
2,9,2,0.566
2,10,2,1.081
2,10,2,0.408
2,7,2,1.1
2,7,2,1.022
2,8,2,3.005
2,8,2,1.017
2,8,2,1.03
2,9,2,0.466
2,9,2,0.48
2,9,2,0.514
2,9,2,1.428
2,9,2,0.103
2,9,2,1.022
2,9,2,1.07
2,9,2,1.597
2,10,2,1.051
2,10,2,0.497
2,10,2,0.503
2,7,2,0.136
2,7,2,1.87
2,7,2,3.104
2,7,2,0.876
2,7,2,0.968
2,7,2,1.994
2,7,2,4.205
2,7,2,0.441
2,7,2,1.007
2,7,2,3.065
2,8,2,2
2,8,2,2.805
2,8,2,0.975
2,8,2,1.035
2,8,2,0.7
2,8,2,4.639
2,9,2,0.149
2,9,2,0.985
2,9,2,1.572
2,9,2,5.115
2,9,2,0.906
2,9,2,0.443
2,9,2,0.57
2,9,2,1.013
2,9,2,2.457
2,9,2,2.522
2,9,2,0.331
2,9,2,0.438
2,10,2,0.139
2,10,2,2.885
2,10,2,2.209
2,10,2,2.571
2,10,2,0.598
2,10,2,2.1
2,10,2,2.165
2,10,2,3.393
2,8,2,0.826
2,9,2,0.985
2,9,2,0.557
2,9,2,1.543
2,10,2,0.975
2,10,2,1.096
2,7,2,0.716
2,7,2,2.049
2,7,2,2.882
2,7,2,0.875
2,7,2,2.13
2,7,2,4.687
2,7,2,4.167
2,8,2,0.567
2,8,2,2.01
2,8,2,3.125
2,8,2,1.029
2,8,2,0.876
2,8,2,0.143
2,8,2,1.036
2,9,2,1.99
2,9,2,4.918
2,9,2,1.025
2,9,2,0.14
2,9,2,0.797
2,9,2,0.289
2,9,2,1.251
2,10,2,1.173
2,10,2,2.01
2,10,2,2.179
2,10,2,2.19
2,10,2,3.466
2,10,2,0.578
2,10,2,0.588
2,10,2,0.706
2,10,2,0.717
2,10,2,1.076
2,7,2,0.955
2,8,2,2.02
2,8,2,0.546
2,10,2,0.995
2,7,2,1.572
2,7,2,0.419
2,7,2,0.976
2,7,2,0.986
2,7,2,1.127
2,7,2,0.269
2,7,2,0.561
2,7,2,1.119
2,8,2,0.696
2,8,2,1.024
2,8,2,0.136
2,8,2,0.15
2,8,2,0.296
2,8,2,1.105
2,8,2,1.349
2,8,2,2.741
2,9,2,0.209
2,9,2,0.946
2,9,2,0.925
2,9,2,1.96
2,9,2,1.018
2,9,2,3.131
2,9,2,0.15
2,9,2,1.433
2,9,2,0.507
2,10,2,0.676
2,10,2,0.427
2,10,2,0.686
2,10,2,1.698
2,10,2,0.18
2,10,2,0.825
2,10,2,0.832
2,10,2,0.997
2,10,2,1.002
2,10,2,2.19
2,8,2,1.065
2,8,2,1.811
2,8,2,0.412
2,7,2,1.116
2,7,2,2.088
2,7,2,0.955
2,7,2,1.558
2,7,2,2.138
2,7,2,0.712
2,7,2,0.74
2,7,2,1.436
2,7,2,2.24
2,8,2,0.965
2,8,2,1.94
2,8,2,0.499
2,8,2,0.553
2,8,2,2.033
2,8,2,2.244
2,8,2,0.992
2,8,2,1.146
2,9,2,0.543
2,9,2,0.995
2,9,2,1.478
2,9,2,0.978
2,9,2,3.284
2,10,2,0.568
2,10,2,1.007
2,10,2,4.834
2,7,2,0.577
2,8,2,2.149
2,9,2,0.557
2,10,2,1.413
2,10,2,1.821
2,7,2,1.741
2,7,2,1.403
2,8,2,0.428
2,8,2,1.821
2,8,2,1.612
2,9,2,1.572
2,9,2,0.995
2,9,2,1.254
2,9,2,1.881
2,10,2,1.512
2,10,2,1.562
2,10,2,1.831
2,7,2,1.015
2,7,2,0.548
2,8,2,1.025
2,8,2,0.405
2,8,2,0.688
2,8,2,0.279
2,8,2,0.598
2,9,2,0.458
2,10,2,0.428
2,10,2,0.695
2,7,2,1.532
2,8,2,2.135
2,9,2,1.465
2,9,2,0.585
2,7,2,1.512
2,7,2,1.542
2,7,2,0.1
2,7,2,0.602
2,7,2,0.965
2,7,2,0.279
2,7,2,0.997
2,7,2,2.448
2,8,2,0.557
2,8,2,1.59
2,8,2,0.558
2,8,2,0.563
2,8,2,1.025
2,9,2,0.28
2,9,2,0.727
2,9,2,0.557
2,9,2,0.648
2,9,2,0.723
2,9,2,0.074
2,9,2,0.867
2,9,2,0.428
2,9,2,0.996
2,10,2,1.005
2,10,2,1.008
2,10,2,1.488
2,10,2,1.875
2,10,2,1.92
2,10,2,0.414
2,10,2,0.568
2,10,2,0.567
2,9,2,1.045
2,10,2,1.92
2,7,2,0.627
2,7,2,0.139
2,7,2,2.069
2,7,2,0.552
2,8,2,0.138
2,9,2,0.577
2,10,2,0.428
2,10,2,0.436
2,10,2,3.075
2,7,2,0.742
2,7,2,1.046
2,7,2,1.055
2,10,2,0.866
2,7,2,0.997
2,7,2,1.108
2,7,2,1.4
2,9,2,1.002
2,10,2,0.986
2,10,2,1.366
2,7,2,0.945
2,7,2,2.004
2,7,2,1.023
2,8,2,0.138
2,8,2,0.311
2,9,2,2.527
2,9,2,2.169
2,9,2,0.567
2,9,2,0.98
2,9,2,0.145
2,9,2,0.279
2,9,2,0.303
2,9,2,0.572
2,9,2,0.7
2,9,2,0.433
2,10,2,1.025
2,10,2,1.011
2,10,2,1.108
2,10,2,2.152
2,10,2,0.155
2,10,2,0.413
2,7,2,0.248
2,7,2,0.528
2,7,2,3.059
2,8,2,0.966
2,8,2,2.112
2,8,2,0.395
2,8,2,0.399
2,8,2,2.122
2,9,2,0.578
2,9,2,0.993
2,9,2,5.012
2,10,2,0.581
2,10,2,0.921
2,10,2,0.562
2,10,2,0.569
2,10,2,3.836
2,7,2,0.963
2,7,2,1.51
2,7,2,0.739
2,8,2,1.032
2,8,2,2.106
2,9,2,0.339
2,9,2,3.964
2,9,2,2.046
2,10,2,1.107
2,7,2,0.339
2,7,2,0.37
2,7,2,0.699
2,7,2,2.415
2,9,2,6.857
2,10,2,2.101
2,10,2,5.425
2,7,2,1.123
2,7,2,0.615
2,7,2,0.807
2,7,2,1.555
2,7,2,5.159
2,7,2,10.08
2,8,2,2.007
2,8,2,3.179
2,8,2,0.744
2,8,2,2.842
2,8,2,4.392
2,8,2,7.17
2,8,2,7.556
2,8,2,10.56
2,8,2,11.995
2,9,2,6.336
2,9,2,0.712
2,9,2,1.155
2,9,2,2.893
2,9,2,3.244
2,9,2,5.19
2,9,2,8.483
2,9,2,4.047
2,9,2,8.514
2,9,2,9.559
2,10,2,1.123
2,10,2,0.751
2,10,2,1.078
2,10,2,2.691
2,10,2,2.795
2,10,2,2.894
2,10,2,6.075
2,7,2,0.973
2,7,2,0.335
2,7,2,1.092
2,7,2,2.056
2,8,2,0.407
2,8,2,1.777
2,8,2,3.673
2,8,2,6.357
2,9,2,2.876
2,9,2,3.745
2,9,2,2.147
2,9,2,0.742
2,9,2,1.946
2,9,2,2.794
2,9,2,2.801
2,10,2,2.396
2,10,2,5.042
2,10,2,5.084
2,10,2,0.668
2,10,2,0.75
2,10,2,1.064
2,10,2,1.787
2,10,2,1.918
2,10,2,3.785
2,7,2,1.905
2,7,2,1.677
2,7,2,1.069
2,7,2,2.672
2,7,2,0.36
2,7,2,1.126
2,7,2,1.994
2,8,2,0.38
2,8,2,0.346
2,8,2,0.998
2,8,2,1.048
2,8,2,0.37
2,9,2,0.359
2,9,2,0.738
2,9,2,0.857
2,9,2,1.128
2,9,2,1.677
2,9,2,1.768
2,9,2,0.978
2,9,2,2.503
2,9,2,1.096
2,9,2,0.644
2,9,2,1.073
2,9,2,0.689
2,10,2,1.038
2,10,2,0.695
2,10,2,1.052
2,10,2,1.479
2,10,2,0.679
2,8,2,2.765
2,10,2,1.607
2,10,2,1.078
2,7,2,1.048
2,7,2,3.064
2,8,2,2.685
2,8,2,0.37
2,9,2,0.31
2,9,2,1.057
2,10,2,0.39
2,7,2,1.468
2,7,2,4.503
2,7,2,0.36
2,8,2,0.539
2,8,2,4.053
2,8,2,5.231
2,8,2,0.366
2,8,2,0.609
2,8,2,0.639
