Week,Date,Hour,Line no.,Operator,Actual weight  (in g),VENDOR
2,7,9,1,O1,150.2,V3
2,7,9,1,O1,150,V3
2,7,9,1,O1,150.3,V3
2,7,9,1,O1,150.2,V3
2,7,9,1,O1,150,V3
2,7,10,1,O1,150.1,V3
2,7,10,1,O1,150.3,V3
2,7,10,1,O1,150.2,V3
2,7,10,1,O1,150,V3
2,7,10,1,O1,150.3,V3
2,7,10,1,O1,150.1,V3
2,7,10,1,O1,150.2,V3
2,7,10,1,O1,150,V3
2,7,10,1,O1,150.3,V3
2,7,10,1,O1,150.2,V3
2,7,11,1,O1,150.3,V3
2,7,11,1,O1,150.1,V3
2,7,11,1,O1,150.2,V3
2,7,11,1,O1,150.2,V3
2,7,11,1,O1,150,V3
2,7,11,1,O1,150.1,V3
2,7,11,1,O1,150.3,V3
2,7,11,1,O1,150.2,V3
2,7,11,1,O1,150.1,V3
2,7,11,1,O1,150,V3
2,7,12,1,O1,150,V3
2,7,12,1,O1,150.2,V3
2,7,12,1,O1,150.3,V3
2,7,12,1,O1,150.1,V3
2,7,12,1,O1,150.2,V3
2,7,12,1,O1,150.3,V3
2,7,12,1,O1,150.2,V3
2,7,12,1,O1,150,V3
2,7,12,1,O1,150.2,V3
2,7,12,1,O1,150,V3
2,7,13,1,O1,150,V3
2,7,13,1,O1,150.1,V3
2,7,13,1,O1,150.3,V3
2,7,13,1,O1,150.2,V3
2,7,13,1,O1,150.3,V3
2,7,13,1,O1,150.2,V3
2,7,13,1,O1,150.1,V3
2,7,13,1,O1,150.2,V3
2,7,13,1,O1,150.1,V3
2,7,13,1,O1,150.1,V3
2,7,14,1,O1,150.2,V3
2,7,14,1,O1,150.3,V3
2,7,14,1,O1,150.2,V3
2,7,14,1,O1,150.1,V3
2,7,14,1,O1,150.1,V3
2,7,14,1,O1,150.2,V3
2,7,14,1,O1,150.2,V3
2,7,14,1,O1,150,V3
2,7,14,1,O1,150.2,V3
2,7,14,1,O1,150.1,V3
2,7,15,1,O1,150.2,V3
2,7,15,1,O1,150.2,V3
2,7,15,1,O1,150,V3
2,7,15,1,O1,150.2,V3
2,7,15,1,O1,150.3,V3
2,7,15,1,O1,150.1,V3
2,7,15,1,O1,150.2,V3
2,7,15,1,O1,150.3,V3
2,7,15,1,O1,150.1,V3
2,7,15,1,O1,150.2,V3
2,7,16,1,O1,150.2,V2
2,7,16,1,O1,150.1,V2
2,7,16,1,O1,150.3,V2
2,7,16,1,O1,150.1,V2
2,7,16,1,O1,150.1,V2
2,7,16,1,O1,150.2,V2
2,7,16,1,O1,150,V2
2,7,16,1,O1,150.3,V2
2,7,16,1,O1,150.2,V2
2,7,16,1,O1,150.1,V2
2,7,17,1,O1,150,V2
2,7,17,1,O1,150.2,V2
2,7,17,1,O1,150.1,V2
2,7,17,1,O1,150.2,V2
2,7,17,1,O1,150.3,V2
2,7,17,1,O1,150.1,V2
2,7,17,1,O1,150,V2
2,7,17,1,O1,150.1,V2
2,7,17,1,O1,150.2,V2
2,7,17,1,O1,150.1,V2
2,7,18,1,O1,150.2,V2
2,7,18,1,O1,150.1,V2
2,7,18,1,O1,150.3,V2
2,7,18,1,O1,150.2,V2
2,7,18,1,O1,150.1,V2
2,7,18,1,O1,150.2,V2
2,7,18,1,O1,150,V2
2,7,18,1,O1,150.2,V2
2,7,18,1,O1,150,V2
2,7,18,1,O1,150.3,V2
2,7,19,1,O1,*,V2
2,7,19,1,O1,150.1,V2
2,7,19,1,O1,150.3,V2
2,7,19,1,O1,150.2,V2
2,7,19,1,O1,150,V2
2,7,19,1,O1,150.1,V2
2,7,19,1,O1,150.2,V2
2,7,19,1,O1,150.3,V2
2,7,19,1,O1,150.2,V2
2,7,19,1,O1,150,V2
2,7,20,1,O1,150,V2
2,7,20,1,O1,150.3,V2
2,7,20,1,O1,150.1,V2
2,7,20,1,O1,150.3,V2
2,7,20,1,O1,150.2,V2
2,7,20,1,O1,150,V2
2,7,20,1,O1,150,V2
2,7,20,1,O1,150.3,V2
2,7,20,1,O1,150.2,V2
2,7,20,1,O1,150.1,V2
2,7,21,1,O1,150,V2
2,7,21,1,O1,150.2,V2
2,7,21,1,O1,150.3,V2
2,7,21,1,O1,150.1,V2
2,7,21,1,O1,150,V2
2,7,21,1,O1,150.2,V2
2,7,21,1,O1,150.1,V2
2,7,21,1,O1,150.2,V2
2,7,21,1,O1,150.3,V2
2,7,21,1,O1,150.1,V2
2,7,22,1,O1,150.2,V2
2,7,22,1,O1,150.3,V2
2,7,22,1,O1,150.1,V2
2,7,22,1,O1,150.2,V2
2,7,22,1,O1,150.1,V2
2,7,22,1,O1,150,V2
2,7,22,1,O1,150.3,V2
2,7,22,1,O1,150.2,V2
2,7,22,1,O1,150.1,V2
2,7,22,1,O1,150.1,V2
2,7,23,1,O1,150.2,V2
2,7,23,1,O1,150.1,V2
2,7,23,1,O1,150.3,V2
2,7,23,1,O1,150.1,V2
2,7,23,1,O1,150.1,V2
2,7,23,1,O1,150.1,V2
2,7,23,1,O1,150.3,V2
2,7,23,1,O1,150,V2
2,7,23,1,O1,150.1,V2
2,7,23,1,O1,150.1,V2
2,8,1,1,O3,150.2,V2
2,8,1,1,O3,150.1,V2
2,8,1,1,O3,150.3,V2
2,8,1,1,O3,150,V2
2,8,1,1,O3,150.2,V2
2,8,1,1,O3,150.1,V2
2,8,1,1,O3,150,V2
2,8,1,1,O3,150.3,V2
2,8,1,1,O3,150,V2
2,8,1,1,O3,150.2,V2
2,8,2,1,O3,150.1,V2
2,8,2,1,O3,150,V2
2,8,2,1,O3,150.2,V2
2,8,2,1,O3,150.3,V2
2,8,2,1,O3,150.2,V2
2,8,2,1,O3,150,V2
2,8,2,1,O3,150.1,V2
2,8,2,1,O3,150.3,V2
2,8,2,1,O3,150.2,V2
2,8,2,1,O3,150.1,V2
2,8,3,1,O3,150.3,V2
2,8,3,1,O3,150.2,V2
2,8,3,1,O3,150.1,V2
2,8,3,1,O3,150,V2
2,8,3,1,O3,150.3,V2
2,8,3,1,O3,150.2,V2
2,8,3,1,O3,150,V2
2,8,3,1,O3,150.1,V2
2,8,3,1,O3,150.3,V2
2,8,3,1,O3,150,V2
2,8,4,1,O3,150.1,V2
2,8,4,1,O3,150,V2
2,8,4,1,O3,150.3,V2
2,8,4,1,O3,150.2,V2
2,8,4,1,O3,150.1,V2
2,8,4,1,O3,150,V2
2,8,4,1,O3,150.3,V2
2,8,4,1,O3,150.2,V2
2,8,4,1,O3,150.1,V2
2,8,4,1,O3,150.3,V2
2,8,5,1,O3,150,V2
2,8,5,1,O3,150.2,V2
2,8,5,1,O3,150.1,V2
2,8,5,1,O3,150.3,V2
2,8,5,1,O3,150,V2
2,8,5,1,O3,150.2,V2
2,8,5,1,O3,150.1,V2
2,8,5,1,O3,150.3,V2
2,8,5,1,O3,150,V2
2,8,5,1,O3,150.2,V2
2,8,6,1,O3,150.3,V2
2,8,6,1,O3,150.1,V2
2,8,6,1,O3,150,V2
2,8,6,1,O3,150.2,V2
2,8,6,1,O3,150.3,V2
2,8,6,1,O3,150.2,V2
2,8,6,1,O3,150,V2
2,8,6,1,O3,150.1,V2
2,8,6,1,O3,150.2,V2
2,8,6,1,O3,150,V2
2,8,7,1,O3,150.2,V2
2,8,7,1,O3,150,V2
2,8,7,1,O3,150.3,V2
2,8,7,1,O3,150.2,V2
2,8,7,1,O3,150.1,V2
2,8,7,1,O3,150,V2
2,8,7,1,O3,150.3,V2
2,8,7,1,O3,150.2,V2
2,8,7,1,O3,150.1,V2
2,8,7,1,O3,150.3,V2
2,8,8,1,O3,150.1,V2
2,8,8,1,O3,150.3,V2
2,8,8,1,O3,150,V2
2,8,8,1,O3,150.2,V2
2,8,8,1,O3,150.1,V2
2,8,8,1,O3,150.3,V2
2,8,8,1,O3,150.2,V2
2,8,8,1,O3,150,V2
2,8,8,1,O3,150.1,V2
2,8,8,1,O3,150.2,V2
2,8,9,1,O1,150,V2
2,8,9,1,O1,150.2,V2
2,8,9,1,O1,150.3,V2
2,8,9,1,O1,150.1,V2
2,8,9,1,O1,150,V2
2,8,9,1,O1,150.2,V2
2,8,9,1,O1,150,V2
2,8,9,1,O1,150.1,V2
2,8,9,1,O1,150.3,V2
2,8,9,1,O1,150.2,V2
2,8,10,1,O1,150,V2
2,8,10,1,O1,150.3,V2
2,8,10,1,O1,150.3,V2
2,8,10,1,O1,150,V2
2,8,10,1,O1,150.1,V2
2,8,10,1,O1,150,V2
2,8,10,1,O1,150.1,V2
2,8,10,1,O1,150.2,V2
2,8,10,1,O1,150,V2
2,8,10,1,O1,150.2,V2
2,8,11,1,O1,150.2,V2
2,8,11,1,O1,149.9,V2
2,8,11,1,O1,150.1,V2
2,8,11,1,O1,150.2,V2
2,8,11,1,O1,150.3,V2
2,8,11,1,O1,150.1,V2
2,8,11,1,O1,150.3,V2
2,8,11,1,O1,150,V2
2,8,11,1,O1,150.1,V2
2,8,11,1,O1,150,V2
2,8,12,1,O1,150.3,V2
2,8,12,1,O1,150.2,V2
2,8,12,1,O1,150.1,V2
2,8,12,1,O1,150.3,V2
2,8,12,1,O1,150.2,V2
2,8,12,1,O1,150.3,V2
2,8,12,1,O1,150.2,V2
2,8,12,1,O1,150.1,V2
2,8,12,1,O1,149.9,V2
2,8,12,1,O1,150.3,V2
2,8,13,1,O1,150.2,V2
2,8,13,1,O1,150.3,V2
2,8,13,1,O1,150.2,V2
2,8,13,1,O1,150.1,V2
2,8,13,1,O1,150.2,V2
2,8,13,1,O1,150.1,V2
2,8,13,1,O1,150.3,V2
2,8,13,1,O1,150.2,V2
2,8,13,1,O1,150.2,V2
2,8,13,1,O1,150.1,V2
2,8,14,1,O1,150.2,V2
2,8,14,1,O1,150.3,V2
2,8,14,1,O1,150.2,V2
2,8,14,1,O1,150,V2
2,8,14,1,O1,150.1,V2
2,8,14,1,O1,150.3,V2
2,8,14,1,O1,149.9,V2
2,8,14,1,O1,150,V2
2,8,14,1,O1,150.2,V2
2,8,14,1,O1,150.3,V2
2,8,15,1,O1,150.2,V2
2,8,15,1,O1,150.3,V2
2,8,15,1,O1,150.2,V2
2,8,15,1,O1,150.3,V2
2,8,15,1,O1,150.2,V2
2,8,15,1,O1,150.3,V2
2,8,15,1,O1,150.1,V2
2,8,15,1,O1,150.1,V2
2,8,15,1,O1,150.2,V2
2,8,15,1,O1,150.1,V2
2,8,16,1,O1,150.2,V2
2,8,16,1,O1,150.3,V2
2,8,16,1,O1,150,V2
2,8,16,1,O1,150.2,V2
2,8,16,1,O1,150,V2
2,8,16,1,O1,150.3,V2
2,8,16,1,O1,150.2,V2
2,8,16,1,O1,150,V2
2,8,16,1,O1,150.2,V2
2,8,16,1,O1,150,V2
2,11,2,1,O1,150.2,V2
2,11,2,1,O1,150.1,V2
2,11,2,1,O1,150.3,V2
2,11,2,1,O1,150.1,V2
2,11,2,1,O1,150.2,V2
2,11,2,1,O1,150.3,V2
2,11,2,1,O1,150.1,V2
2,11,2,1,O1,150.1,V2
2,11,2,1,O1,150,V2
2,11,2,1,O1,150.1,V2
2,11,3,1,O1,150,V2
2,11,3,1,O1,150.2,V2
2,11,3,1,O1,150.3,V2
2,11,3,1,O1,150,V2
2,11,3,1,O1,150.1,V2
2,11,3,1,O1,150.3,V2
2,11,3,1,O1,150,V2
2,11,3,1,O1,150.2,V2
2,11,3,1,O1,150,V2
2,11,3,1,O1,150.3,V2
2,11,4,1,O1,150.2,V2
2,11,4,1,O1,150.3,V2
2,11,4,1,O1,150.1,V2
2,11,4,1,O1,150.2,V2
2,11,4,1,O1,150.3,V2
2,11,4,1,O1,150,V2
2,11,4,1,O1,150.2,V2
2,11,4,1,O1,150.3,V2
2,11,4,1,O1,150,V2
2,11,4,1,O1,150.2,V2
2,11,5,1,O1,150,V2
2,11,5,1,O1,150.3,V2
2,11,5,1,O1,150.2,V2
2,11,5,1,O1,150.1,V2
2,11,5,1,O1,150.2,V2
2,11,5,1,O1,150,V2
2,11,5,1,O1,150.2,V2
2,11,5,1,O1,150.3,V2
2,11,5,1,O1,150.2,V2
2,11,5,1,O1,150,V2
2,11,6,1,O1,150.2,V2
2,11,6,1,O1,150.3,V2
2,11,6,1,O1,150.2,V2
2,11,6,1,O1,150,V2
2,11,6,1,O1,150.1,V2
2,11,6,1,O1,150.2,V2
2,11,6,1,O1,150.3,V2
2,11,6,1,O1,150,V2
2,11,6,1,O1,150.2,V2
2,11,6,1,O1,150,V2
2,11,7,1,O1,150,V2
2,11,7,1,O1,150.2,V2
2,11,7,1,O1,150.3,V2
2,11,7,1,O1,150.2,V2
2,11,7,1,O1,150,V2
2,11,7,1,O1,150.1,V2
2,11,7,1,O1,150,V2
2,11,7,1,O1,150.2,V2
2,11,7,1,O1,150,V2
2,11,7,1,O1,150.2,V2
2,11,8,1,O1,150.2,V2
2,11,8,1,O1,150.3,V2
2,11,8,1,O1,150.1,V2
2,11,8,1,O1,150.2,V2
2,11,8,1,O1,150,V2
2,11,8,1,O1,150,V2
2,11,8,1,O1,150,V2
2,11,8,1,O1,150.3,V2
2,11,8,1,O1,150.3,V2
2,11,8,1,O1,150.2,V2
2,11,9,1,O1,150.2,V2
2,11,9,1,O1,150.1,V2
2,11,9,1,O1,150.3,V2
2,11,9,1,O1,150.2,V2
2,11,9,1,O1,150.1,V2
2,11,9,1,O1,150.2,V2
2,11,9,1,O1,150.1,V2
2,11,9,1,O1,150.2,V2
2,11,9,1,O1,150,V2
2,11,9,1,O1,150.3,V2
2,11,10,1,O1,150,V2
2,11,10,1,O1,150.2,V2
2,11,10,1,O1,150,V2
2,11,10,1,O1,150.3,V2
2,11,10,1,O1,150.1,V2
2,11,10,1,O1,150.2,V2
2,11,10,1,O1,150,V2
2,11,10,1,O1,150.2,V2
2,11,10,1,O1,150.1,V2
2,11,10,1,O1,150.3,V2
1,4,7,1,O4,150.5,V1
1,4,7,1,O4,150.2,V1
1,4,7,1,O4,150.1,V1
1,4,7,1,O4,150.2,V1
1,4,7,1,O4,150.1,V1
1,4,7,1,O4,149.9,V1
1,4,7,1,O4,150.2,V1
1,4,7,1,O4,150.1,V1
1,4,7,1,O4,150.2,V1
1,4,7,1,O4,150.4,V1
1,4,8,1,O4,150.2,V1
1,4,8,1,O4,150.4,V1
1,4,8,1,O4,149.9,V1
1,4,8,1,O4,150.1,V1
1,4,8,1,O4,150.2,V1
1,4,8,1,O4,150.1,V1
1,4,8,1,O4,150.2,V1
1,4,8,1,O4,150.4,V1
1,4,8,1,O4,150.2,V1
1,4,8,1,O4,150,V1
1,4,9,1,O5,150.3,V1
1,4,9,1,O5,150.3,V1
1,4,9,1,O5,150.35,V1
1,4,9,1,O5,150.3,V1
1,4,9,1,O5,150.4,V1
1,4,9,1,O5,149.9,V1
1,4,9,1,O5,149.9,V1
1,4,9,1,O5,149.9,V1
1,4,9,1,O5,149.85,V1
1,4,9,1,O5,149.9,V1
1,4,10,1,O5,150,V1
1,4,10,1,O5,150.1,V1
1,4,10,1,O5,150.1,V1
1,4,10,1,O5,150.2,V1
1,4,10,1,O5,150,V1
1,4,10,1,O5,150.4,V1
1,4,10,1,O5,150.2,V1
1,4,10,1,O5,150,V1
1,4,10,1,O5,150.1,V1
1,4,10,1,O5,150,V1
1,4,11,1,O5,150,V2
1,4,11,1,O5,150.05,V2
1,4,11,1,O5,149.95,V2
1,4,11,1,O5,150,V2
1,4,11,1,O5,150,V2
1,4,11,1,O5,150.2,V2
1,4,11,1,O5,150.25,V2
1,4,11,1,O5,150.45,V2
1,4,11,1,O5,150.2,V2
1,4,11,1,O5,150.2,V2
1,4,12,1,O5,150.3,V2
1,4,12,1,O5,150.4,V2
1,4,12,1,O5,150,V2
1,4,12,1,O5,150.1,V2
1,4,12,1,O5,150.2,V2
1,4,12,1,O5,149.9,V2
1,4,12,1,O5,149.9,V2
1,4,12,1,O5,149.8,V2
1,4,12,1,O5,150.1,V2
1,4,12,1,O5,150.2,V2
1,4,13,1,O5,150.3,V2
1,4,13,1,O5,150.4,V2
1,4,13,1,O5,150.3,V2
1,4,13,1,O5,150.3,V2
1,4,13,1,O5,150.3,V2
1,4,13,1,O5,150,V2
1,4,13,1,O5,150.1,V2
1,4,13,1,O5,150.1,V2
1,4,13,1,O5,150,V2
1,4,13,1,O5,150.1,V2
1,4,14,1,O5,150.3,V3
1,4,14,1,O5,150.1,V3
1,4,14,1,O5,150.2,V3
1,4,14,1,O5,150.1,V3
1,4,14,1,O5,150,V3
1,4,14,1,O5,150,V3
1,4,14,1,O5,150.1,V3
1,4,14,1,O5,150.1,V3
1,4,14,1,O5,150.2,V3
1,4,14,1,O5,150,V3
1,4,15,1,O5,150.2,V3
1,4,15,1,O5,150.1,V3
1,4,15,1,O5,150.2,V3
1,4,15,1,O5,150,V3
1,4,15,1,O5,150.3,V3
1,4,15,1,O5,150.2,V3
1,4,15,1,O5,150.1,V3
1,4,15,1,O5,150.2,V3
1,4,15,1,O5,150.1,V3
1,4,15,1,O5,150.2,V3
