GBH,HT
12,5.3
12.5,5.3
15,5.3
16,5.3
17,5.3
15,5.35
16,5.35
18,5.35
8,5.4
10,5.4
14,5.4
14,5.4
15,5.4
15,5.4
16,5.4
16,5.4
17,5.4
17,5.4
19,5.4
23,5.4
24,5.4
14,5.45
14.5,5.45
15,5.45
16,5.45
17,5.45
17,5.45
18,5.45
18,5.45
18,5.45
10.5,5.5
11.1,5.5
12,5.5
12,5.5
12.6,5.5
14,5.5
16,5.5
16,5.5
19,5.5
22,5.5
11.5,5.55
15,5.55
15.5,5.55
9,5.6
10,5.6
14,5.6
14,5.6
14,5.6
14,5.6
14,5.6
15,5.6
15,5.6
16,5.6
16.5,5.6
17,5.6
17,5.6
17,5.6
18,5.6
19,5.6
19,5.6
20,5.6
24,5.6
26,5.6
15,5.64
16,5.65
12.3,5.7
14,5.7
19,5.7
20,5.7
20,5.7
24,5.7
26,5.7
37,5.7
11,5.8
12,5.8
12,5.8
12.1,5.8
13,5.8
15,5.8
15.1,5.8
16,5.8
16,5.8
16.5,5.8
17,5.8
17.5,5.8
18.4,5.8
19,5.8
20,5.8
23,5.8
26,5.8
14,5.85
15,5.85
13,5.88
14,5.9
15,5.9
15,5.9
16,5.9
16,5.9
17,5.95
11.2,6
12,6
12,6
13,6
13,6
15.1,6
17,6
17,6
17,6
17.5,6
20,6
23,6
23,6
29,6
11,6.05
10,6.1
13,6.1
14,6.1
15,6.1
17,6.1
17.4,6.1
19,6.1
19,6.1
20,6.1
21,6.1
23,6.1
12,6.15
14,6.15
15,6.15
16,6.15
16,6.15
18,6.15
22,6.15
13,6.2
16,6.2
16,6.2
16.5,6.2
17.5,6.2
10.5,6.25
12,6.25
16,6.25
16,6.25
17,6.25
18,6.25
12,6.3
13.5,6.3
15,6.3
15,6.3
15.1,6.3
16,6.3
16.5,6.3
18,6.3
19,6.3
19,6.3
22,6.3
26,6.3
14,6.35
14,6.35
15,6.35
15,6.35
16,6.35
19,6.35
20.4,6.35
11,6.4
13,6.4
14,6.4
15,6.4
17,6.4
17,6.4
18.5,6.4
19,6.4
19,6.4
20,6.4
20,6.4
21,6.4
19,6.43
14,6.45
16,6.45
17,6.45
17,6.45
19,6.45
19,6.45
20,6.45
12,6.5
12,6.5
14,6.5
15,6.5
16,6.5
17,6.5
17.3,6.5
18,6.5
19,6.5
20,6.5
21,6.5
23,6.5
27,6.5
20,6.52
11,6.55
14.5,6.55
19,6.55
20,6.55
12.5,6.56
13,6.6
13.5,6.6
14.5,6.6
16,6.6
17,6.6
20,6.6
21,6.6
20.1,6.65
12,6.69
16.3,6.7
19,6.7
24,6.7
13.5,6.8
14,6.8
15,6.8
16.4,6.8
17,6.8
17,6.8
17.5,6.8
19,6.8
20,6.8
11,6.85
20,6.85
15.5,6.9
16,6.9
16.5,6.9
17,6.9
18,6.9
21,6.9
16.5,6.95
17,6.95
15,7
15.3,7
19,7
19,7
19,7
19,7
20,7
23.5,7
14.5,7.1
16,7.1
19,7.1
23.5,7.1
25,7.1
15,7.15
18,7.15
20,7.15
11.5,7.16
18,7.16
20.1,7.2
21.4,7.2
19,7.25
23,7.25
25.1,7.25
16,7.28
17,7.29
8,7.3
14,7.3
16,7.3
16,7.3
16,7.3
17,7.3
17.5,7.3
18,7.3
18,7.3
18,7.3
19,7.3
19,7.3
21,7.3
22,7.3
22,7.3
25,7.3
36,7.3
19,7.35
23,7.35
13,7.36
13.5,7.36
14.5,7.4
15,7.4
16,7.4
19,7.4
19,7.4
20,7.4
20,7.4
20,7.4
21,7.4
21,7.4
21,7.4
22,7.4
22,7.4
23,7.4
23,7.4
24,7.4
24,7.4
25,7.4
25,7.4
29,7.4
21,7.45
21,7.45
14,7.5
14.1,7.5
16.5,7.5
18,7.5
19,7.5
19,7.5
20,7.5
20,7.5
21,7.5
21,7.5
21,7.5
21,7.5
22,7.5
22.5,7.5
23,7.5
24,7.5
27,7.5
16.5,7.55
18,7.55
17,7.6
22,7.6
22,7.6
23,7.6
24,7.6
19,7.7
27.1,7.7
29,7.7
18.5,7.8
26.5,7.8
17.5,7.85
12.1,7.9
17,7.9
20,7.9
33.1,7.9
12,8
19.5,8
23,8
25,8
27,8
31,8
20.5,8.1
25,8.1
24,8.14
16,8.2
20.5,8.2
22,8.2
16,8.3
18,8.3
18.5,8.3
22,8.3
11,8.4
23,8.4
24,8.4
25,8.4
27,8.4
27,8.4
20,8.5
26,8.5
26.1,8.5
27,8.5
21,8.55
20,8.6
25,8.6
21,8.65
18,8.7
24,8.7
26,8.7
26,8.7
29,8.7
20,8.8
30.5,8.8
19,8.9
22,8.9
23,8.9
28.9,8.9
24,9
25,9
25.2,9
28,9
28,9.1
29,9.1
23,9.2
26,9.2
29.5,9.2
16,9.45
25,9.45
28,9.5
28,9.5
29,9.5
23,9.6
23,9.65
20,9.7
22,9.7
25.5,9.9
26,9.9
27,10
23,10.1
30,10.1
23,10.2
24,10.2
29,10.2
30,10.4
35,10.45
24.5,10.7
26,10.7
34,10.8
42,10.95
32,11.1
38,11.5
37,12
36.3,12.1
35,12.5
37,12.5
42,12.5
39,12.6
38,13
40,14
31.1,14.5
