Soil Type  --->,Poor,Poor,Poor,Poor,Medium,Medium,Medium,Medium,Medium,Medium,Good,Good,Poor,Poor,Poor,Poor,Poor,Poor,Medium,Medium,Medium,Medium,Good,Good,Good,Good,Good,Good,Good,Good,Poor,Poor,Poor,Poor,Medium,Medium,Good,Good,Good,Good,Good,Good
,13.0,4.60,7.5,4.20,7.0,3.65,29.5,9.20,17.0,6.95,10.0,3.30,9.0,3.45,12.10,5.00,10.0,4.00,5.0,2.15,9.0,4.60,9.0,3.15,21.0,8.65,19,6.35,42,10.95,18.0,4.30,20,5.25,21,7.30,14,4.80,19,6.10,19,7.40
,4.0,2.70,11.0,5.30,10.0,5.60,31.1,14.50,12.5,6.56,10.0,4.40,6.0,2.40,11.50,5.55,14.0,5.05,4.0,2.35,19.0,6.40,10.0,3.40,14.5,7.40,17,6.25,18,7.50,17.0,4.70,20,5.70,15,5.20,15,5.35,23,7.50,22,7.30
,6.0,2.93,7.3,3.50,9.0,3.25,12.0,4.20,26.0,9.90,7.5,3.60,5.0,2.50,16.00,5.60,12.0,4.00,9.0,2.70,10.0,4.70,9.0,3.30,15.0,7.15,16,6.25,15,5.85,18.0,4.90,13,4.80,14,5.25,17,5.45,15,6.10,22,7.50
,10.0,4.08,16.0,7.30,12.0,4.30,10.5,4.28,23.0,9.60,10.0,4.40,6.0,2.50,16.50,5.80,9.0,2.95,4.0,2.10,15.0,6.40,9.0,3.50,17.5,7.30,19,6.30,16,6.35,16.0,5.10,15,5.40,14,5.10,10,4.10,16,6.50,14,5.90
,10.5,4.95,20.1,7.20,14.0,5.20,15.3,7.00,29.0,8.70,12.0,4.80,4.0,1.60,16.00,5.50,11.0,3.55,3.0,1.65,25.0,8.40,8.0,3.35,15.5,6.90,16,6.20,21,7.40,37.0,5.70,27,6.50,15,5.20,15,5.45,16,6.25,16,4.85
,6.0,2.90,7.1,5.20,16.0,5.50,7.0,4.20,11.0,6.55,5.5,3.00,7.0,2.50,16.50,5.60,14.0,4.60,5.0,2.30,20.0,7.40,5.0,2.30,14.0,4.45,13,5.80,16,7.40,26.0,5.60,22,5.50,6,3.80,15,5.40,29,9.50,17,6.00
,14.0,5.40,12.1,7.90,16.0,5.08,20.1,6.65,11.0,6.85,12.5,5.30,6.0,2.40,19.00,6.55,11.0,3.85,10.0,3.30,11.0,4.70,12.0,4.40,16.0,7.30,24,7.40,17,6.90,21.0,5.10,26,5.70,15,5.15,16,9.45,19,7.00,23,7.35
,12.0,3.90,5.1,3.05,3.0,2.94,16.0,6.20,7.5,4.70,5.0,3.35,7.0,2.45,6.50,2.50,11.0,3.65,13.0,3.70,15.0,5.64,7.0,2.90,15.0,7.00,12,6.50,35,10.45,17.0,5.30,36,7.30,21,7.50,21,7.45,37,12.00,19,6.30
,10.0,3.68,22.0,8.20,9.0,4.00,9.1,4.40,12.0,6.00,10.5,4.15,2.0,1.15,15.10,6.00,11.0,3.90,7.0,2.90,24.0,7.40,12.0,4.45,15.0,6.80,23,6.00,25,7.40,16.0,3.60,26,5.80,8,4.20,14,5.45,23,8.40,20,7.15
,4.0,2.80,10.0,5.20,11.0,4.21,7.0,3.44,20.0,8.80,8.5,3.35,5.0,2.00,15.00,6.50,10.0,3.85,10.0,3.20,14.0,6.45,6.0,2.60,16.5,6.95,19,6.45,42,12.50,15.0,3.70,17,6.10,15,4.50,8,4.05,25,8.00,25,9.45
,14.0,4.10,11.1,5.10,4.0,2.50,17.5,6.00,18.0,8.30,9.0,4.05,4.0,2.00,14.50,6.55,14.0,4.45,4.0,2.35,14.0,6.50,9.0,3.10,19.0,7.25,19,6.40,28,9.50,18.0,4.10,21,6.40,12,4.70,17,6.40,27,8.00,16,5.90
,4.0,2.30,15.1,6.30,5.0,3.33,17.4,6.10,30.5,8.80,7.0,3.55,5.0,2.25,5.20,2.95,5.0,2.35,9.0,3.10,13.0,6.40,6.0,2.50,10.0,6.10,14,6.15,35,12.50,19.0,4.50,23,6.10,15,5.30,21,7.40,31,8.00,24,10.20
,8.0,2.94,16.3,6.70,8.5,4.35,25.1,7.25,10.5,6.25,14.0,4.50,3.0,1.60,12.60,5.50,11.0,4.00,7.0,2.95,11.0,4.70,5.0,2.50,10.5,5.50,13,6.00,10,4.80,16.0,3.10,21,6.10,14,4.90,17,5.45,25,8.60,23,9.20
,13.0,4.25,17.0,7.90,8.0,3.03,20.5,8.10,16.0,8.30,11.5,4.10,10.0,3.40,20.00,6.52,9.0,3.50,7.0,2.70,12.0,6.25,6.0,2.60,17.0,6.80,15,6.35,12,6.00,20.0,5.10,14,5.60,8,4.10,21,7.45,30,10.10,19,7.30
,7.0,2.90,5.1,4.05,12.0,4.70,8.0,3.50,8.0,5.30,5.5,3.30,3.0,2.20,27.10,7.70,13.0,4.40,5.0,2.15,14.0,5.60,7.0,2.50,13.5,6.60,26,6.30,9,4.50,21.0,4.90,22,7.30,22,6.30,14,5.60,19,7.70,23,10.20
,,,17.0,6.80,15.5,5.11,24.0,9.00,18.0,8.70,6.0,3.30,12.0,3.50,9.00,3.80,11.0,3.95,7.0,3.00,16.0,6.90,8.0,3.35,14.0,6.10,13,6.10,16,6.45,22.0,5.10,23,5.80,14,4.30,18,5.45,15,6.30,26,10.70
,,,9.5,5.00,20.0,7.00,8.0,3.22,28.0,9.50,5.0,3.95,9.0,3.05,28.90,8.90,11.0,3.60,7.0,3.10,11.0,5.80,8.0,3.40,14.5,6.60,10,3.75,8,4.55,19.0,4.35,20,5.60,13,5.20,10,3.40,23,7.60,16,5.90
,,,16.4,6.80,11.0,4.70,12.0,4.87,23.0,9.65,11.5,4.45,9.0,2.80,23.00,8.90,19.0,5.50,5.0,2.35,20.0,7.40,10.0,4.50,15.0,5.90,15,6.35,14,6.35,17.0,3.50,18,6.15,17,5.40,18,5.45,19,7.10,19,7.50
,,,14.1,7.50,13.0,4.90,13.5,4.49,9.0,4.85,5.0,3.30,13.0,4.00,25.50,9.90,12.0,4.55,8.0,2.60,20.0,7.50,9.0,3.30,18.0,7.30,23,7.40,40,14.00,20.0,5.00,21,6.90,18,5.35,19,6.70,37,12.50,26,9.20
,,,12.0,4.80,8.0,3.67,15.5,5.23,10.0,4.90,15.5,5.20,5.0,3.55,19.00,8.90,10.0,3.15,5.0,1.80,20.0,6.40,8.0,2.90,16.5,6.90,15,4.70,18,6.25,13.0,3.50,15,5.60,16,5.10,15,4.40,26,8.70,16,6.15
,,,12.3,5.70,9.0,4.50,16.5,6.30,17.0,7.30,5.0,3.30,10.0,3.05,25.20,9.00,11.0,3.85,9.0,3.40,13.0,6.60,10.0,3.70,5.0,4.10,14,5.85,39,12.60,12.0,5.00,20,5.70,16,5.40,18,5.45,29,9.10,25,7.10
,,,9.5,4.10,,,21.4,7.20,14.0,7.30,17.5,5.80,7.0,2.45,15.10,5.80,10.0,4.20,4.0,1.95,12.0,8.00,12.0,3.40,15.0,5.80,19,6.80,24,7.60,16.0,3.40,15,5.90,20,4.90,24,5.60,16,7.10,20,8.60
,,,14.0,4.90,,,36.3,12.10,14.0,7.50,11.5,4.52,9.0,4.00,17.00,6.45,9.0,3.95,9.0,2.55,9.0,4.50,8.0,2.95,11.0,4.70,11,4.80,19,6.43,,,16,5.80,12,5.10,16,4.70,28,9.00,19,7.00
,,,5.1,2.40,,,17.0,4.26,29.0,10.20,7.5,4.10,5.0,2.20,17.50,6.80,9.0,3.30,13.0,4.00,13.0,5.20,7.0,3.15,16.5,6.20,19,7.35,24,8.14,,,15,4.90,12,4.10,14,3.75,25,8.10,22,7.60
,,,3.0,2.75,,,11.2,6.00,18.5,8.30,12.1,4.75,5.0,2.55,17.00,6.00,11.0,3.95,14.0,3.50,20.0,7.90,6.0,2.45,13.5,6.30,14,5.70,22,9.70,,,19,6.10,15,5.20,18,5.60,27,8.40,20,6.60
,,,5.0,3.40,,,7.5,3.90,12.0,5.80,10.0,4.95,10.0,3.90,21.00,6.60,12.0,3.60,8.0,2.95,17.0,6.40,10.0,3.75,20.5,8.20,16,7.30,9,5.60,,,17,5.60,17,5.00,18,4.95,26,8.50,23,7.25
,,,3.0,3.25,,,17.5,6.20,11.1,5.50,12.0,3.85,7.0,3.10,12.10,5.80,10.0,3.50,9.0,3.50,17.0,6.45,9.0,3.15,14.5,7.10,14,5.60,13,6.20,,,18,4.80,8,4.10,16,5.35,22,7.60,18,6.90
,,,9.1,4.70,,,18.5,6.40,27.0,10.00,9.1,4.40,6.0,2.15,11.00,5.10,8.0,3.35,7.0,2.50,12.0,6.15,8.0,2.90,16.5,7.50,18,6.30,18,7.30,,,13,4.90,16,5.80,19,5.40,32,11.10,19,7.00
,,,17.0,7.60,,,9.1,4.00,24.5,10.70,5.0,3.10,9.0,3.20,10.00,5.40,9.0,2.75,10.0,2.95,25.0,7.40,7.0,3.70,13.5,6.80,23,7.40,8,4.60,,,19,5.80,14,5.10,23,5.40,26,8.70,24,7.50
,,,15.0,7.40,,,15.2,5.22,26.1,8.50,7.5,3.55,4.0,1.90,14.00,5.10,11.0,3.75,5.0,2.05,21.0,7.40,7.0,2.80,9.5,5.30,19,6.50,12,6.30,,,20,6.85,13,5.15,16,5.30,27,8.50,23,10.10
,,,7.1,4.90,,,17.3,6.50,8.0,7.30,,,6.0,2.50,18.40,5.80,10.0,3.35,2.0,2.15,16.0,6.60,10.0,2.25,10.5,4.90,20,6.45,38,13.00,,,16,5.65,17,5.80,8,5.40,20,6.00,22,8.90
,,,12.0,5.30,,,23.5,7.10,6.5,4.00,,,13.0,5.00,20.00,6.80,14.0,4.10,9.0,2.70,9.0,4.70,12.0,4.30,18.0,7.15,11,5.00,,,,,24,6.70,15,5.25,18,4.50,19,7.30,17,5.60
,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,, ,, , ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,, ,, , ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,, ,, ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,, ,, ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,, ,, ,,,,,,
