Variety,CO2Fixation,Conductance,IntracellularCO2,RelativeWaterContent_Percentage,PolyEthyleneGlycol Concentration
ICSV 745,5.64,60.30,204.30,95.40,0.20
ICSV 745,5.96,64.10,287.10,95.00,0.20
ICSV 745,5.56,45.60,211.80,92.20,0.20
IS 9830,5.17,42.90,187.90,94.10,0.20
IS 9830,7.36,65.00,164.90,86.70,0.20
IS 9830,7.63,53.50,111.70,96.80,0.20
IS 18551,4.44,56.60,268.40,94.40,0.20
IS 18551,3.43,45.90,243.80,91.20,0.20
IS 18551,7.46,58.80,231.30,89.90,0.20
IS22380,3.55,36.40,216.80,93.60,0.20
IS22380,4.02,49.10,241.20,98.20,0.20
IS22380,5.90,50.40,258.50,92.20,0.20
M35-1,4.76,37.80,184.70,83.30,0.20
M35-1,5.53,42.00,148.40,73.50,0.20
M35-1,,,,93.10,0.20
N13,5.5,32.8,143.3,87.2,0.20
N13,1.82,37.9,307.7,73.3,0.20
N13,3.64,45.1,246.9,71.9,0.20
PB1588-3,7.11,98.9,314.9,95.3,0.20
PB1588-3,6.23,67.1,262.5,96.2,0.20
PB1588-3,7.38,75.1,293.5,94,0.20
R 16,6.4,51.6,252.9,91.7,0.20
R 16,3.79,30,321,90.4,0.20
R 16,3.97,44.5,397.5,89,0.20
Tx7078,6.37,70.6,257.6,96.9,0.20
Tx7078,0.99,49.4,405.7,94.6,0.20
Tx7078,8.32,78.6,276.3,59.2,0.20
296B,5.25,54.7,297.2,88,0.20
296B,2.84,30,356,85,0.20
296B,1.43,65.1,388.9,56.8,0.20
E36-1,1.89,16.60,292.30,87.00,0.25
E36-1,3.21,42.50,272.30,65.60,0.25
E36-1,6.47,50.50,194.10,70.70,0.25
ICSV 745,5.82,36.10,183.10,46.90,0.25
ICSV 745,2.27,28.40,262.20,94.90,0.25
ICSV 745,1.40,21.00,302.60,64.80,0.25
IS 9830,3.12,31.10,179.20,78.90,0.25
IS 9830,2.47,36.80,226.10,63.30,0.25
IS 9830,3.89,26.40,122.90,86.80,0.25
IS 18551,5.59,50.00,214.10,87.00,0.25
IS 18551,4.92,48.10,219.30,86.00,0.25
IS 18551,3.41,43.30,235.90,85.90,0.25
IS22380,4.05,38.40,239.10,93.00,0.25
IS22380,1.59,19.30,242.10,85.80,0.25
IS22380,1.38,24.50,267.70,76.90,0.25
M35-1,2.74,28.80,230.20,73.90,0.25
M35-1,4.83,33.30,159.30,69.00,0.25
M35-1,4.30,51.00,229.50,79.70,0.25
N13,1.99,33.1,366.4,63.5,0.25
N13,1.51,18.8,295,57.7,0.25
N13,1.24,14.6,332.6,66.1,0.25
PB1588-3,4.79,60.4,308.1,94.8,0.25
PB1588-3,5.3,66.2,396.4,94.9,0.25
PB1588-3,3.58,41.5,281.3,92.3,0.25
R 16,3.75,50.2,276.7,94.1,0.25
R 16,2.58,31.7,306.1,72.4,0.25
R 16,6.25,49.7,252.4,87.3,0.25
Tx7078,3.77,49.8,264.2,75,0.25
Tx7078,1.88,45.8,436.3,57.7,0.25
Tx7078,5.87,57,319.3,90.1,0.25
296B,2.78,49.6,293,54.1,0.25
296B,2.25,45.8,288.6,52.1,0.25
296B,1.83,39.5,314.6,56.9,0.25
